round_epochs,val_loss,val_binary_accuracy,loss,binary_accuracy,dropout,first_neuron,activation,optimizer,epochs,batch_size
6,0.27032628655433655,0.8999999761581421,0.005499301252088376,1.0,0,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,1.0689809322357178,0.9333333373069763,1.093302509096767e-07,1.0,0,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.2113458812236786,0.9333333373069763,0.00925570978516979,1.0,0.25,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,1.0747746229171753,0.9333333373069763,1.3664901557611107,0.9142857142857143,0,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,1.1385724544525146,0.800000011920929,0.2279501795336338,0.9857142857142858,0.75,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,0.9489701390266418,0.8666666746139526,0.0019723015903894392,1.0,0.5,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.6498938202857971,0.9333333373069763,0.6189488087248589,0.9285714302744185,0,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,0.6399902105331421,0.8999999761581421,0.007926896394055558,1.0,0.25,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,1.6379551887512207,0.8666666746139526,0.45549679714516983,0.9714285714285714,0.25,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.5656970143318176,0.9333333373069763,0.22774853937190614,0.9857142857142858,0,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,2.079913377761841,0.8333333134651184,0.22775472463104457,0.9857142857142858,0.25,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,2.1256513595581055,0.8666666746139526,1.0933024908256682e-07,1.0,0.25,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.8144738674163818,0.8333333134651184,0.00029553365559097854,1.0,0.5,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,0.725753128528595,0.9333333373069763,0.00018426904903857835,1.0,0.25,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,1.1903642416000366,0.8999999761581421,0.4557482624989646,0.9714285714285714,0.5,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,1.4604047536849976,0.8666666746139526,4.178148947175941e-06,1.0,0.5,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.7242076992988586,0.9333333373069763,0.0001757087655797867,1.0,0.25,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,1.2399022579193115,0.7666666507720947,0.0016817748380097846,1.0,0.75,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,1.3314826488494873,0.8999999761581421,0.4863569799111941,0.9571428571428572,0.5,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,1.6825932264328003,0.800000011920929,0.00013650371356257145,1.0,0,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.5315015912055969,0.9666666388511658,0.2277484579028118,0.9857142857142858,0,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,1.651611328125,0.8666666746139526,0.9110047567834929,0.9428571428571428,0.25,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,1.8040235042572021,0.8333333134651184,0.0001946229420720361,1.0,0.5,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,0.785778820514679,0.8666666746139526,1.6526932865547548e-06,1.0,0.5,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,0.7657154202461243,0.8999999761581421,0.00042722989284190555,1.0,0.75,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,1.0687180757522583,0.9333333373069763,1.1545849459511892,0.9142857142857143,0,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.45205578207969666,0.9333333373069763,4.889122024565041e-07,1.0,0.5,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,1.839051604270935,0.8333333134651184,0.2277484851506494,0.9857142857142858,0.5,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.7219240665435791,0.9333333373069763,0.45550161130665145,0.9714285714285714,0,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,1.4549212455749512,0.6666666865348816,0.01473999850402054,1.0,0.75,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,0.5379034280776978,0.8999999761581421,4.544929953108782e-05,1.0,0.25,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,0.3943353593349457,0.8999999761581421,0.015186163413142951,1.0,0.75,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,0.713512659072876,0.9333333373069763,0.08482654693566616,0.9857142857142858,0,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.7700777649879456,0.8999999761581421,0.00023843763293395374,1.0,0.75,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,1.5347155332565308,0.8999999761581421,0.2278325364892794,0.9857142857142858,0.75,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.32518959045410156,0.8666666746139526,0.0018645542530326305,1.0,0.75,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,1.685787558555603,0.8333333134651184,9.302693017941368e-06,1.0,0.75,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,0.81192547082901,0.8666666746139526,2.079004458518544e-06,1.0,0,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,1.0636101961135864,0.9333333373069763,0.4554968037956769,0.9714285714285714,0,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,2.204094409942627,0.699999988079071,0.007640284911862441,1.0,0.75,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,1.2788043022155762,0.8666666746139526,8.752944133050278e-06,1.0,0.25,64,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.2237146943807602,0.9333333373069763,0.011681412305084191,1.0,0.25,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,32
6,1.1007550954818726,0.8666666746139526,7.56569684970795e-07,1.0,0,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.3233755826950073,0.8666666746139526,0.005528457281655262,1.0,0.75,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,1.5373350381851196,0.8666666746139526,0.5132426534380231,0.957142858845847,0.5,256,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,64
6,0.4067836105823517,0.9333333373069763,0.01149317216477357,1.0,0.5,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,0.4748879075050354,0.9666666388511658,0.0007168597440990458,1.0,0.25,32,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,0.2799646258354187,0.8999999761581421,0.0009876077121589333,1.0,0.5,16,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Adam'>,6,64
6,0.9093037843704224,0.8666666746139526,0.0006149229197114486,1.0,0.5,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,32
6,0.4563709795475006,0.8999999761581421,0.0007131163846484664,1.0,0,32,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
6,1.0686827898025513,0.9333333373069763,1.1387417990529893,0.9285714302744185,0.25,256,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,1.6269867420196533,0.8333333134651184,0.455496797419589,0.9714285731315613,0.25,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,1.2393275499343872,0.8999999761581421,0.00017903525261187626,1.0,0.5,16,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Nadam'>,6,32
6,1.1343932151794434,0.8666666746139526,0.10003696180480931,0.9857142857142858,0.75,128,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,32
6,1.0629855394363403,0.9333333373069763,0.7381434943277211,0.9285714302744185,0,64,<function relu at 0x000002194F778400>,<class 'keras.optimizers.Nadam'>,6,64
6,0.627867579460144,0.8666666746139526,0.739250978401729,0.9285714285714286,0,128,<function elu at 0x000002194F7781E0>,<class 'keras.optimizers.Adam'>,6,64
